node_id	publication_status	journal_issn	journal_name	date	article_id_pubmed	publication_type_D016430	publication_type_D003160	publication_type_D016428	publication_type_D016448	publication_type_D016449	publication_type_D013485	publication_type_D013487	article_id_doi	article_id_pmc	article_id_pii	publication_type_D016454	publication_type_D052061	publication_type_D017418	publication_type_D013486	publication_type_D018848	article_id_mid	publication_type_D002363	publication_type_D000078182	publication_type_D023362	publication_type_D004740	publication_type_D023361	publication_type_D052060	publication_type_D016422	publication_type_D019215	publication_type_D016456	publication_type_D019477	publication_type_D019531	publication_type_D016420	publication_type_D017065	publication_type_D054711	publication_type_D018486	publication_type_D017428	publication_type_D016421	publication_type_D017426	publication_type_D059040	publication_type_D016431	publication_type_D017427	publication_type_D016423	publication_type_D016446	publication_type_D017429	publication_type_D016441	publication_type_D016439	publication_type_D016427	publication_type_D016429	publication_type_D016418	publication_type_D017203	label
17	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
18	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
19	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
20	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
22	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
23	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
24	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
25	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
26	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
27	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
28	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
29	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
30	ppublish	0012-1797	Diabetes	1995-11-29	7589820	1	1	1	1	1	1	1				0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
